"date","day","month","year","n_cases","n_deaths","country","geo_id","country_code","n_population_2018","n_cases_sum","dss","rsq","K","Y0","r","max_day"
"2020-04-04",4,4,2020,1251,49,"Canada","CA","CAN",37058856,12519,70,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-05",5,4,2020,1363,44,"Canada","CA","CAN",37058856,13882,71,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-06",6,4,2020,1614,49,"Canada","CA","CAN",37058856,15496,72,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-07",7,4,2020,1157,43,"Canada","CA","CAN",37058856,16653,73,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-08",8,4,2020,1230,57,"Canada","CA","CAN",37058856,17883,74,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-09",9,4,2020,1391,55,"Canada","CA","CAN",37058856,19274,75,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-10",10,4,2020,1474,74,"Canada","CA","CAN",37058856,20748,76,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-11",11,4,2020,1385,60,"Canada","CA","CAN",37058856,22133,77,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-12",12,4,2020,1168,84,"Canada","CA","CAN",37058856,23301,78,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-13",13,4,2020,1064,64,"Canada","CA","CAN",37058856,24365,79,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-14",14,4,2020,1298,63,"Canada","CA","CAN",37058856,25663,80,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-15",15,4,2020,1383,123,"Canada","CA","CAN",37058856,27046,81,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-04-16",16,4,2020,1318,107,"Canada","CA","CAN",37058856,28364,82,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2019-12-31",31,12,2019,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-01",1,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-02",2,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-03",3,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-04",4,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-05",5,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-06",6,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-07",7,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-08",8,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-09",9,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-10",10,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-11",11,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
"2020-01-12",12,1,2020,0,0,"Switzerland","CH","CHE",8516543,0,NA,0.983983780290971,23814.3460605415,2,0.292980759081993,51
